"County","Renewable.v.FossilFuel","Number.of.Generators"
"Alamance County","Renewable Fuel",9
"Alexander County","Renewable Fuel",3
"Anson County","Fossil Fuel",10
"Anson County","Renewable Fuel",13
"Beaufort County","Other",1
"Beaufort County","Renewable Fuel",10
"Bertie County","Renewable Fuel",5
"Bladen County","Fossil Fuel",19
"Bladen County","Renewable Fuel",13
"Brunswick County","Fossil Fuel",3
"Brunswick County","Nuclear",2
"Brunswick County","Renewable Fuel",4
"Buncombe County","Fossil Fuel",6
"Buncombe County","Other",1
"Buncombe County","Renewable Fuel",7
"Burke County","Fossil Fuel",5
"Burke County","Renewable Fuel",6
"Cabarrus County","Renewable Fuel",7
"Caldwell County","Fossil Fuel",1
"Caldwell County","Renewable Fuel",4
"Camden County","Renewable Fuel",3
"Caswell County","Renewable Fuel",5
"Catawba County","Fossil Fuel",5
"Catawba County","Renewable Fuel",19
"Chatham County","Renewable Fuel",14
"Cherokee County","Renewable Fuel",5
"Chowan County","Fossil Fuel",2
"Chowan County","Renewable Fuel",3
"Clay County","Renewable Fuel",4
"Cleveland County","Fossil Fuel",13
"Cleveland County","Renewable Fuel",21
"Columbus County","Renewable Fuel",16
"Craven County","Renewable Fuel",26
"Cumberland County","Fossil Fuel",9
"Cumberland County","Renewable Fuel",14
"Currituck County","Renewable Fuel",4
"Dare County","Fossil Fuel",5
"Davidson County","Fossil Fuel",7
"Davidson County","Renewable Fuel",4
"Davie County","Renewable Fuel",4
"Duplin County","Renewable Fuel",40
"Durham County","Renewable Fuel",6
"Edgecombe County","Renewable Fuel",8
"Forsyth County","Renewable Fuel",8
"Franklin County","Fossil Fuel",1
"Franklin County","Renewable Fuel",14
"Gaston County","Fossil Fuel",19
"Gaston County","Renewable Fuel",13
"Gates County","Renewable Fuel",3
"Graham County","Renewable Fuel",7
"Granville County","Renewable Fuel",7
"Greene County","Renewable Fuel",7
"Guilford County","Fossil Fuel",9
"Guilford County","Renewable Fuel",8
"Halifax County","Fossil Fuel",3
"Halifax County","Renewable Fuel",16
"Harnett County","Renewable Fuel",10
"Haywood County","Renewable Fuel",10
"Henderson County","Renewable Fuel",4
"Hertford County","Renewable Fuel",18
"Hoke County","Renewable Fuel",3
"Hyde County","Fossil Fuel",1
"Hyde County","Other",1
"Iredell County","Fossil Fuel",2
"Iredell County","Renewable Fuel",7
"Jackson County","Renewable Fuel",5
"Johnston County","Renewable Fuel",28
"Jones County","Renewable Fuel",5
"Lee County","Renewable Fuel",8
"Lenoir County","Fossil Fuel",4
"Lenoir County","Renewable Fuel",11
"Lincoln County","Fossil Fuel",17
"Lincoln County","Renewable Fuel",6
"Macon County","Renewable Fuel",4
"Madison County","Renewable Fuel",6
"Martin County","Renewable Fuel",17
"Mecklenburg County","Fossil Fuel",3
"Mecklenburg County","Nuclear",2
"Mecklenburg County","Renewable Fuel",4
"Montgomery County","Renewable Fuel",24
"Moore County","Renewable Fuel",18
"Nash County","Renewable Fuel",30
"New Hanover County","Fossil Fuel",5
"New Hanover County","Renewable Fuel",2
"Northampton County","Renewable Fuel",19
"Onslow County","Renewable Fuel",4
"Orange County","Fossil Fuel",3
"Orange County","Renewable Fuel",3
"Pamlico County","Renewable Fuel",1
"Pasquotank County","Renewable Fuel",3
"Pender County","Renewable Fuel",8
"Perquimans County","Renewable Fuel",9
"Person County","Fossil Fuel",5
"Person County","Renewable Fuel",8
"Pitt County","Fossil Fuel",8
"Pitt County","Renewable Fuel",11
"Polk County","Renewable Fuel",2
"Randolph County","Renewable Fuel",9
"Richmond County","Fossil Fuel",17
"Richmond County","Renewable Fuel",7
"Robeson County","Fossil Fuel",4
"Robeson County","Renewable Fuel",44
"Rockingham County","Fossil Fuel",8
"Rockingham County","Renewable Fuel",8
"Rowan County","Fossil Fuel",10
"Rowan County","Renewable Fuel",11
"Rutherford County","Fossil Fuel",1
"Rutherford County","Renewable Fuel",11
"Sampson County","Fossil Fuel",2
"Sampson County","Renewable Fuel",17
"Scotland County","Renewable Fuel",14
"Stanly County","Fossil Fuel",3
"Stanly County","Renewable Fuel",4
"Stokes County","Fossil Fuel",2
"Stokes County","Renewable Fuel",2
"Surry County","Renewable Fuel",4
"Swain County","Renewable Fuel",3
"Union County","Fossil Fuel",3
"Union County","Renewable Fuel",5
"Vance County","Renewable Fuel",13
"Wake County","Fossil Fuel",4
"Wake County","Nuclear",1
"Wake County","Renewable Fuel",40
"Warren County","Renewable Fuel",8
"Washington County","Renewable Fuel",3
"Wayne County","Fossil Fuel",9
"Wayne County","Renewable Fuel",27
"Wilson County","Fossil Fuel",2
"Wilson County","Renewable Fuel",13
"Yadkin County","Renewable Fuel",4
